EGGER_ID,decor_texture_code,interior_match_title,interior_match_text
H1346_32,H1346 ST32,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1357_10,H1357 ST10,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1362_12,H1362 ST12,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1367_40,H1367 ST40,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1384_40,H1384 ST40,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1385_40,H1385 ST40,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1386_40,H1386 ST40,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H180_86,H180 ST86,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H2033_10,H2033 ST10,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H3303_10,H3303 ST10,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
